Petition,URL,State,Signatures Count
Hold a referendum on the monarchy before the Prince of Wales becomes King,https://petition.parliament.uk/archived/petitions/104552,closed,510
Amend the Local Government Act 1972 for Metropolitan Borough Council Elections,https://petition.parliament.uk/archived/petitions/104553,closed,137
Prosecute all uk-based and returning jihadis for high treason.,https://petition.parliament.uk/archived/petitions/104554,closed,642
Legalise hare coursing as a tax paying betting sport.,https://petition.parliament.uk/archived/petitions/104555,closed,21
We need Jeremy Hunt MP to get NHS England to fund Vimizin for Morquio Sufferers,https://petition.parliament.uk/archived/petitions/104559,closed,11078
Keep to the Lords Reform by allocating peerages according to vote share.,https://petition.parliament.uk/archived/petitions/104562,closed,21
Bring an end to forced adoption without crime and adoption targets.,https://petition.parliament.uk/archived/petitions/104564,closed,342
Make the age required to pay an adult fare on public transport 18 rather than 16,https://petition.parliament.uk/archived/petitions/104577,closed,1340
Regulate estate agents. Change the law re buying and selling.,https://petition.parliament.uk/archived/petitions/104582,closed,73
Debate removing education from political control.,https://petition.parliament.uk/archived/petitions/104588,closed,13
Demand an end to Halal and Kosher slaughter in the UK,https://petition.parliament.uk/archived/petitions/104590,closed,7305
Make all food outlets display their hygiene rating on the outside window.,https://petition.parliament.uk/archived/petitions/104592,closed,33
"Abolish the outdated House of Lords, there by privilege and birthright only.",https://petition.parliament.uk/archived/petitions/104594,closed,2976
Cancel Sisi's invitation to the UK,https://petition.parliament.uk/archived/petitions/104600,closed,2562
"SOS!
Save our services at Hensigham,  West Cumberland Hospital",https://petition.parliament.uk/archived/petitions/104601,closed,16
Lower the voting age to 16.,https://petition.parliament.uk/archived/petitions/104603,closed,381
Business employees toilets accessible to sufferers of chronic medical conditions,https://petition.parliament.uk/archived/petitions/104613,closed,1505
Compel all coin-operated parking meters to give change.,https://petition.parliament.uk/archived/petitions/104614,closed,55
Scrap Fracking UK Wide & Invest in Green Energy,https://petition.parliament.uk/archived/petitions/104617,closed,47972
"Outlaw male as well as female genital mutilation, equalizing children's rights",https://petition.parliament.uk/archived/petitions/104623,closed,174
Create Quantative Easing - Resolve the increasing epidemic of affordable housing,https://petition.parliament.uk/archived/petitions/104628,closed,22
Give the electorate a referendum on the decision to replace the Human Rights Act,https://petition.parliament.uk/archived/petitions/104631,closed,185
Save lives by introducing driving and road safety into the school curriculum,https://petition.parliament.uk/archived/petitions/104632,closed,5365
Save the Hunting Act,https://petition.parliament.uk/archived/petitions/104637,closed,9663
To make CCTV mandatory in all nurseries for investigation purposes.,https://petition.parliament.uk/archived/petitions/104638,closed,444
Allow transgender people to self-define their legal gender,https://petition.parliament.uk/archived/petitions/104639,closed,35352
Make organ donation a default of 'Yes' in the event of a person dying.,https://petition.parliament.uk/archived/petitions/104640,closed,761
Introduce members of Parliament for our Overseas Territories.,https://petition.parliament.uk/archived/petitions/104641,closed,12
Fund research of and treatment for Vitamin B12 deficiency,https://petition.parliament.uk/archived/petitions/104643,closed,387
Re-Nationalise the entire railway network and rail operating companies.,https://petition.parliament.uk/archived/petitions/104644,closed,5936
10% pay increase for all NHS employees,https://petition.parliament.uk/archived/petitions/104646,closed,834
Ban the Burkha on the grounds of security,https://petition.parliament.uk/archived/petitions/104649,closed,21248
