Petition,URL,State,Signatures Count
Abolish the 0.7% GDP target for Foreign Aid,https://petition.parliament.uk/petitions/200292,closed,55152
Change the GCSE English Literature exam from closed book to open book.,https://petition.parliament.uk/petitions/200299,closed,165932
Require meat to be marked according to its slaughter method,https://petition.parliament.uk/petitions/200300,closed,8668
Make Hydraulic Fracturing (Fracking) illegal in the UK,https://petition.parliament.uk/petitions/200307,closed,24940
Make it mandatory for UK Councils to provide recycling bins in all public areas,https://petition.parliament.uk/petitions/200308,closed,69
No referendum on the final deal for the UK to remain in the European Union.,https://petition.parliament.uk/petitions/200311,closed,14438
Create a devolved Yorkshire Assembly with powers equal to the Welsh Assembly,https://petition.parliament.uk/petitions/200313,closed,254
The government should not be transferring all EU Regulations into British law.,https://petition.parliament.uk/petitions/200316,closed,197
Make it mandatory for all mainline train services to carry a defibrillator,https://petition.parliament.uk/petitions/200318,closed,46
Close anticlock sliproad M25 junction 1b to stop drivers cutting from junction 2,https://petition.parliament.uk/petitions/200320,closed,223
UK Govt: Help to rebuild communities affected by the mudslides in Sierra Leone,https://petition.parliament.uk/petitions/200328,closed,41
Change the law so that all dogs have to be on a lead in public areas,https://petition.parliament.uk/petitions/200331,closed,600
Suspend the ambassador of Myanmar for his country's action against the Rohingya.,https://petition.parliament.uk/petitions/200332,closed,65
Political Education to be put on the National Curriculum.,https://petition.parliament.uk/petitions/200339,closed,939
Bring back the nit nurse!,https://petition.parliament.uk/petitions/200340,closed,115
Make primary schools allow kids toilet breaks during class time,https://petition.parliament.uk/petitions/200345,closed,72
Give the blood bike community section 19 exemptions for blue light runs,https://petition.parliament.uk/petitions/200350,closed,1708
Equalise survivor benefits for widows & widowers in the Teachers Pension Scheme.,https://petition.parliament.uk/petitions/200352,closed,213
Prevent the current changes to pharmacy regulations being debated by the DoH,https://petition.parliament.uk/petitions/200355,closed,12
"Put aspects of gardening onto the Primary curriculum, teaching its benefits.",https://petition.parliament.uk/petitions/200358,closed,34
Make photo ID mandatory in all elections and Referenda.,https://petition.parliament.uk/petitions/200360,closed,503
Zero hours contracts should be abolished.,https://petition.parliament.uk/petitions/200362,closed,413
Theresa May to publicly condemn the government of Myanmar/Burma,https://petition.parliament.uk/petitions/200363,closed,339
Lower the cervical smear test age to 18!,https://petition.parliament.uk/petitions/200368,closed,386
Stop The Genocide In Myanmar - UK Government Please Help!,https://petition.parliament.uk/petitions/200371,closed,1451
Make it illegal for any UK politician to lie or mislead the public.,https://petition.parliament.uk/petitions/200372,closed,14771
Stop funding political parties that dont take their seats in Parliament.,https://petition.parliament.uk/petitions/200373,closed,55
Bring Royal Mail back into public ownership,https://petition.parliament.uk/petitions/200376,closed,8189
Make dentistry free at the point of delivery for all and fees payable later,https://petition.parliament.uk/petitions/200378,closed,61
Fund free rail travel to school for children,https://petition.parliament.uk/petitions/200380,closed,26
To make every person who works driving HGV in this country pass a UK HGV test,https://petition.parliament.uk/petitions/200381,closed,245
Ban Transfat in food production,https://petition.parliament.uk/petitions/200385,closed,67
Sex crimes against children to receive harsher penalties and mandatory jail time,https://petition.parliament.uk/petitions/200389,closed,4014
Reduce the amount of time from 5 years to 3 for a divorce without consent.,https://petition.parliament.uk/petitions/200391,closed,21
Investigate covert foreign interference in the EU referendum,https://petition.parliament.uk/petitions/200394,closed,19653
Make safe standing zones a legal requirement for English Football league clubs.,https://petition.parliament.uk/petitions/200398,closed,56
Increase efficiency of motorways by permitting overtaking on the left.,https://petition.parliament.uk/petitions/200407,closed,13
"Halve Tuition Fees, & bring back Maintenance Grants for all University students.",https://petition.parliament.uk/petitions/200408,closed,246
Improve allergen labelling on food packaging.,https://petition.parliament.uk/petitions/200410,closed,813
Create an official medal for emergency services involved in the London attacks.,https://petition.parliament.uk/petitions/200413,closed,32
A referendum on the ‘Foreign Aid Budget’,https://petition.parliament.uk/petitions/200414,closed,406
Convicted terrorists should be jailed in special prisons for whole of life,https://petition.parliament.uk/petitions/200416,closed,65
Re-nationalise the train service,https://petition.parliament.uk/petitions/200418,closed,168
Every Knife sold through Retailers in the UK have tamper proof serial numbers.,https://petition.parliament.uk/petitions/200426,closed,49
Don't leave the EU,https://petition.parliament.uk/petitions/200427,closed,10990
Eradicate the loophole that allows railway stations to be closed by stealth,https://petition.parliament.uk/petitions/200434,closed,263
Stop Myxomatosis killing wild Rabbits by developing a lifetime vaccine,https://petition.parliament.uk/petitions/200444,closed,265
scrap 'smart' motorways and revert to a hard shoulder,https://petition.parliament.uk/petitions/200449,closed,57
Give PCV licence holders category C1 licence aswell.,https://petition.parliament.uk/petitions/200455,closed,163
Death penalty for those found guilty of plotting or committing acts of terror,https://petition.parliament.uk/petitions/200461,closed,305
UK citizens should have the right to carry guns for self-defense,https://petition.parliament.uk/petitions/200463,closed,173
Prevent President Buhari and all state Governors of Nigeria from entering the UK,https://petition.parliament.uk/petitions/200488,closed,182
Introduce an Opt-Out Electoral Register (Automatic Voter Registration Bill),https://petition.parliament.uk/petitions/200489,closed,211
Introduce a 20% cap on national media ownership.,https://petition.parliament.uk/petitions/200490,closed,332
Introduce an emergency alert text system nationally,https://petition.parliament.uk/petitions/200504,closed,50
Install security checkpoints at every underground transport station in the U.K.,https://petition.parliament.uk/petitions/200507,closed,26
Change the rules to allow gay men to donate blood more freely.,https://petition.parliament.uk/petitions/200508,closed,830
Provide blood glucose meters for all type 2 diabetics on the NHS,https://petition.parliament.uk/petitions/200513,closed,71
Reduce Dartford crossing charges,https://petition.parliament.uk/petitions/200515,closed,44
Use the Tampon Tax to subsidise sanitary products for girls of school age,https://petition.parliament.uk/petitions/200520,closed,253
In 2019 hold a referendum to reinstate capital punishment,https://petition.parliament.uk/petitions/200521,closed,897
Put General Practitioners on the Home Office's 'Shortage Occupation List',https://petition.parliament.uk/petitions/200523,closed,1881
Make the motor trade require a licence to be a mechanic,https://petition.parliament.uk/petitions/200526,closed,22
"Having knocked over a cat, the driver must legally stop to help/trace the owner",https://petition.parliament.uk/petitions/200529,closed,1019
"When a defendant makes a plea in a sexual case, the jury should be made aware",https://petition.parliament.uk/petitions/200534,closed,218
All residents of the United Kingdom to be issued with a Biometric Identity Card.,https://petition.parliament.uk/petitions/200537,closed,197
Install ANPR systems on the A2 junction with the A282.,https://petition.parliament.uk/petitions/200540,closed,11
"All Government forms, publications in English or English/Welsh languages only.",https://petition.parliament.uk/petitions/200541,closed,245
Eliminate financial requirement for UK citizens bringing legal spouses to the UK,https://petition.parliament.uk/petitions/200543,closed,39
Make it a legal requirement for councils to provide essential public toilets.,https://petition.parliament.uk/petitions/200545,closed,326
Refuse RSPCA entering homes/property to seize animals without permission/police.,https://petition.parliament.uk/petitions/200551,closed,123
End fines for parents who take their children on short holiday during term time.,https://petition.parliament.uk/petitions/200552,closed,104
HGVs to be restricted to the slow lane only on motorways and dual carriageways,https://petition.parliament.uk/petitions/200555,closed,42
Privatise the BBC as we did with other public services,https://petition.parliament.uk/petitions/200562,closed,81
"Outlaw the sale of new build properties as buy-to-let ""investments""",https://petition.parliament.uk/petitions/200569,closed,39
Keep Childcare Vouchers open beyond April 2018,https://petition.parliament.uk/petitions/200585,closed,119587
To made possible to claim disability discrimination when applying for a school.,https://petition.parliament.uk/petitions/200589,closed,10
Raise awareness of Nitrogen Dioxide exposure by expanding the UKs sensor network,https://petition.parliament.uk/petitions/200599,closed,160
"Make FCO Consular Services statutory, defined and guaranteed",https://petition.parliament.uk/petitions/200601,closed,196
Install safe and fit for purpose safety fences (crash barriers) on UK motorways.,https://petition.parliament.uk/petitions/200602,closed,72
The undersigned demand the following terms are included in any UK Brexit deal.,https://petition.parliament.uk/petitions/200606,closed,1719
Companies must be required to specify what animal gelatine is in their products,https://petition.parliament.uk/petitions/200612,closed,39
Make a law to stop people parking cars on communal lawns and grass verges.,https://petition.parliament.uk/petitions/200613,closed,29
"Provide free glasses on the NHS, for children with Irlens Syndrome.",https://petition.parliament.uk/petitions/200614,closed,1360
The Government must publish its own Brexit Impact/Risk Assessments,https://petition.parliament.uk/petitions/200634,closed,23218
To allow Christopher Maurice Brown (singer) to be allowed into the UK,https://petition.parliament.uk/petitions/200644,closed,2057
Abolish stamp duty for first time buyers,https://petition.parliament.uk/petitions/200647,closed,60
Ban protesters from wearing facial coverings during demonstrations.,https://petition.parliament.uk/petitions/200650,closed,2562
Change CICA policy that states children age 12+ can “consent in fact” to sex,https://petition.parliament.uk/petitions/200652,closed,959
Amend PIP rules so that mentally disabled adults can get a Blue Parking Badge.,https://petition.parliament.uk/petitions/200654,closed,1049
Alter the definition of rape under English law to include assault by penetration,https://petition.parliament.uk/petitions/200661,closed,82
Bring home the last dambusters Lancaster bomber.,https://petition.parliament.uk/petitions/200662,closed,623
To make the wearing of a cycle helmet compulsory when cycling on public roads.,https://petition.parliament.uk/petitions/200674,closed,148
Spend aid budget on NHS before all Non-Humanitarian Aid.,https://petition.parliament.uk/petitions/200675,closed,54
To stop lorries/buses overtaking on A roads and Motorways to reduce congestion.,https://petition.parliament.uk/petitions/200677,closed,18
Change business rates for child care providers and make them zero VAT rated.,https://petition.parliament.uk/petitions/200679,closed,5853
End the benefits freeze,https://petition.parliament.uk/petitions/200687,closed,494
Create a Devolved English Parliament,https://petition.parliament.uk/petitions/200688,closed,215
Stop oversized and hazardous goods vehicles using the Dartford Tunnel,https://petition.parliament.uk/petitions/200692,closed,2324
"To make a new Act of Parliament, namely, The Protection from Online Bullying Act",https://petition.parliament.uk/petitions/200697,closed,35
Agree to change the law to tag all potential terrorists.,https://petition.parliament.uk/petitions/200707,closed,33
Carbon monoxide detectors in student accommodation and lettings,https://petition.parliament.uk/petitions/200710,closed,26
Rid the TV licence fee for all students living away from home,https://petition.parliament.uk/petitions/200711,closed,28
"Health sec, Jeremy Hunt: waive all prescription charges for asthma medication.",https://petition.parliament.uk/petitions/200716,closed,136
"UK Government to impose trade sanctions on Venezuela, over human rights abuses.",https://petition.parliament.uk/petitions/200725,closed,44
Introduce a trade embargo on Saudi Arabia,https://petition.parliament.uk/petitions/200732,closed,23
Lift the ban on hand guns and allow everyone to own any firearm.,https://petition.parliament.uk/petitions/200740,closed,1000
Britisher should have right to make/change laws through referendum like Swiss.,https://petition.parliament.uk/petitions/200743,closed,57
Make 'Up To' internet package speeds illegal.,https://petition.parliament.uk/petitions/200744,closed,69
To introduce an annual dementia screening test for everyone over the age of 45.,https://petition.parliament.uk/petitions/200756,closed,72
Change law and tax rules to ensure equal pay for equal work for agency workers,https://petition.parliament.uk/petitions/200763,closed,1574
Make self defence classes compulsory in schools.,https://petition.parliament.uk/petitions/200769,closed,136
Make voting compulsory from the age of 18,https://petition.parliament.uk/petitions/200770,closed,105
Prevent the tunnel proposals for the A303 under Stonehenge.,https://petition.parliament.uk/petitions/200772,closed,37
Stop speed-limited vehicles from overtaking during peak congestion periods,https://petition.parliament.uk/petitions/200783,closed,43
Make March 29th Brexit Bank Holiday,https://petition.parliament.uk/petitions/200785,closed,81
Police required by law to pursue suspects not wearing a helmet,https://petition.parliament.uk/petitions/200787,closed,90
Introduce a tourist tax in London - similar to the likes of New York and Naples.,https://petition.parliament.uk/petitions/200788,closed,21
I want everybody to have the chance to have one free try of IVF on the NHS,https://petition.parliament.uk/petitions/200789,closed,1207
